City,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,,,
Albany,"Albany city, Alameda County",18539,7889,5.47,3.68,1.79,10367.2,4411.6,,,
Alpine,"Alpine, San Diego County",14236,5536,26.78,0,26.78,531.6,206.7,,,
Amador City,"Amador City city, Amador County",185,108,0.31,0,0.31,589.6,344.2,,,
Antioch,"Antioch city, Contra Costa County",102372,34849,29.08,0.73,28.35,3611.2,1229.3,,,
Apple Valley,"Apple Valley town, San Bernardino County",69135,26117,73.52,0.33,73.19,944.6,356.8,,,
Bakersfield,"Bakersfield city, Kern County",347483,120725,143.61,1.44,142.16,2444.2,849.2,,,
Baldwin Park,"Baldwin Park city, Los Angeles County",75390,17736,6.79,0.15,6.63,11369.2,2674.7,,,
Banning,"Banning city, Riverside County",29603,12144,23.1,0,23.1,1281.6,525.7,,,
Beaumont,"Beaumont city, Riverside County",36877,12908,30.93,0.01,30.91,1193,417.6,,,
Bell,"Bell city, Los Angeles County",35477,9217,2.62,0.12,2.5,14188,3686.1,,,
Bellflower,"Bellflower city, Los Angeles County",76616,24897,6.17,0.05,6.12,12525,4070.1,,,
Belmont,"Belmont city, San Mateo County",25835,11028,4.63,0.01,4.62,5590.2,2386.3,,,
Benicia,"Benicia city, Solano County",26997,11306,15.72,2.79,12.93,2088.1,874.5,,,
Benton,"Benton, Mono County",280,159,28.5,0.02,28.48,9.8,5.6,,,
Berkeley,"Berkeley city, Alameda County",112580,49454,17.7,7.23,10.47,10752.4,4723.3,,,
Bethel Island,"Bethel Island, Contra Costa County",2137,1327,5.56,0,5.56,384.1,238.5,,,
Beverly Hills,"Beverly Hills city, Los Angeles County",34109,16394,5.71,0,5.71,5975.5,2872,,,
Big Bear City,"Big Bear City, San Bernardino County",12304,12226,31.97,0.02,31.95,385.1,382.6,,,
Big Pine,"Big Pine, Inyo County",1756,871,2.96,0,2.95,594.4,294.8,,,
Bishop,"Bishop city, Inyo County",3879,1926,1.91,0.05,1.86,2081.3,1033.4,,,
Cabazon,"Cabazon, Riverside County",2535,932,4.89,0.03,4.87,520.7,191.5,,,
Camarillo,"Camarillo city, Ventura County",65201,25702,19.54,0.02,19.53,3338.9,1316.2,,,
Campo,"Campo, San Diego County",2684,1105,23.49,0.01,23.48,114.3,47.1,,,
Capitola,"Capitola city, Santa Cruz County",9918,5534,1.68,0.08,1.59,6225.6,3473.7,,,
Carmichael,"Carmichael, Sacramento County",61762,28165,13.79,0.26,13.53,4565.4,2082,,,
Carpinteria,"Carpinteria city, Santa Barbara County",13040,5429,9.27,6.69,2.59,5043.4,2099.8,,,
Carson,"Carson city, Los Angeles County",91714,26226,18.97,0.24,18.72,4898.2,1400.7,,,
Castro Valley,"Castro Valley, Alameda County",61388,23392,16.92,0.28,16.63,3690.4,1406.2,,,
Castroville,"Castroville, Monterey County",6481,1539,1.06,0,1.06,6133.7,1456.5,,,
Ceres,"Ceres city, Stanislaus County",45417,13673,8.02,0.01,8.01,5669.1,1706.7,,,
Cerritos,"Cerritos city, Los Angeles County",49041,15859,8.86,0.13,8.73,5620.7,1817.6,,,
Chico,"Chico city, Butte County",86187,37050,33.1,0.17,32.92,2617.8,1125.3,,,
Chino,"Chino city, San Bernardino County",77983,21797,29.65,0.01,29.64,2631.1,735.4,,,
Chino Hills,"Chino Hills city, San Bernardino County",74799,23617,44.75,0.07,44.68,1674.1,528.6,,,
Chowchilla,"Chowchilla city, Madera County",18720,4154,7.66,0,7.66,2443.5,542.2,,,
Chula Vista,"Chula Vista city, San Diego County",243916,79416,52.09,2.46,49.63,4914.6,1600.1,,,
Citrus Heights,"Citrus Heights city, Sacramento County",83301,35075,14.23,0,14.23,5854.6,2465.1,,,
Clearlake,"Clearlake city, Lake County",15250,8035,10.58,0.45,10.13,1505.6,793.3,,,
Coachella,"Coachella city, Riverside County",40704,9903,28.95,0,28.95,1406,342.1,,,
Coalinga,"Coalinga city, Fresno County",13380,4344,6.15,0.03,6.12,2186.7,710,,,
Concord,"Concord city, Contra Costa County",122067,47125,30.55,0,30.55,3996.2,1542.8,,,
Corona,"Corona city, Riverside County",152374,47174,38.93,0.1,38.83,3924.6,1215,,,
Crockett,"Crockett, Contra Costa County",3094,1649,1.06,0,1.06,2918.7,1555.5,,,
Del Mar,"Del Mar city, San Diego County",4161,2596,1.78,0.07,1.71,2437.9,1521,,,
Downey,"Downey city, Los Angeles County",111772,35601,12.57,0.16,12.41,9008,2869.2,,,
El Cajon,"El Cajon city, San Diego County",99478,35850,14.43,0,14.43,6892.5,2483.9,,,
El Centro,"El Centro city, Imperial County",42598,14476,11.1,0.02,11.08,3844.2,1306.4,,,
El Dorado,"El Dorado, El Dorado County",42108,14994,48.61,0.15,48.45,869,309.5,,,
El Portal,"El Portal, Mariposa County",474,276,1.64,0.05,1.59,297.7,173.3,,,
Fontana,"Fontana city, San Bernardino County",196069,51857,42.43,0,42.43,4620.8,1222.1,,,
Glendale,"Glendale city, Los Angeles County",191719,76269,30.58,0.13,30.45,6295.5,2504.4,,,
Half Moon Bay,"Half Moon Bay city, San Mateo County",11324,4395,6.44,0.02,6.42,1762.6,684.1,,,
Hemet,"Hemet city, Riverside County",78657,35305,27.85,0,27.85,2824.6,1267.8,,,
Highland,"Highland city, San Bernardino County",53104,16578,18.89,0.13,18.76,2831.5,883.9,,,
Indio,"Indio city, Riverside County",76036,28971,29.19,0.01,29.18,2605.7,992.8,,,
Ione,"Ione city, Amador County",7918,1635,4.78,0.01,4.76,1661.8,343.1,,,
Jamestown,"Jamestown, Tuolumne County",3433,1645,3,0,2.99,1146.4,549.3,,,
Julian,"Julian, San Diego County",1502,917,7.84,0,7.84,191.6,117,,,
Junction City,"Junction City, Trinity County",680,361,27.95,0.04,27.9,24.4,12.9,,,
Kelseyville,"Kelseyville, Lake County",3353,1329,2.89,0.01,2.88,1162.3,460.7,,,
Kingsburg,"Kingsburg city, Fresno County",11382,4069,2.83,0,2.83,4024.3,1438.7,,,
La Canada Flintridge,"La Cañada Flintridge city, Los Angeles County",20246,7089,8.65,0.02,8.63,2346.5,821.6,,,
